c000 4c f5 c5 JMP  ABS   A: 0 X: 0 Y: 0 P:24 S:fd pc: c5f5, reg_addr: c5f5, cycle:     10
c5f5 a2  0 86 LDX  IMM   A: 0 X: 0 Y: 0 P:24 S:fd pc: c5f7, reg_addr:    0, cycle:     12
c5f7 86  0 86 STX  ZP    A: 0 X: 0 Y: 0 P:26 S:fd pc: c5f9, reg_addr:    0, cycle:     15
c5f9 86 10 86 STX  ZP    A: 0 X: 0 Y: 0 P:26 S:fd pc: c5fb, reg_addr:   10, cycle:     18
c5fb 86 11 20 STX  ZP    A: 0 X: 0 Y: 0 P:26 S:fd pc: c5fd, reg_addr:   11, cycle:     21
c5fd 20 2d c7 JSR  ABS   A: 0 X: 0 Y: 0 P:26 S:fd pc: c72d, reg_addr: c72d, cycle:     27
c72d ea 38 b0 NOP  IMPL  A: 0 X: 0 Y: 0 P:26 S:fb pc: c72e, reg_addr:    0, cycle:     29
c72e 38 b0  4 SEC  IMPL  A: 0 X: 0 Y: 0 P:26 S:fb pc: c72f, reg_addr:    0, cycle:     31
c72f b0  4 a2 BCS  REL   A: 0 X: 0 Y: 0 P:27 S:fb pc: c735, reg_addr: c735, cycle:     34
c735 ea 18 b0 NOP  IMPL  A: 0 X: 0 Y: 0 P:27 S:fb pc: c736, reg_addr:    0, cycle:     36
c736 18 b0  3 CLC  IMPL  A: 0 X: 0 Y: 0 P:27 S:fb pc: c737, reg_addr:    0, cycle:     38
c737 b0  3 4c BCS  REL   A: 0 X: 0 Y: 0 P:26 S:fb pc: c739, reg_addr: c73c, cycle:     40
c739 4c 40 c7 JMP  ABS   A: 0 X: 0 Y: 0 P:26 S:fb pc: c740, reg_addr: c740, cycle:     43
c740 ea 38 90 NOP  IMPL  A: 0 X: 0 Y: 0 P:26 S:fb pc: c741, reg_addr:    0, cycle:     45
c741 38 90  3 SEC  IMPL  A: 0 X: 0 Y: 0 P:26 S:fb pc: c742, reg_addr:    0, cycle:     47
c742 90  3 4c BCC  REL   A: 0 X: 0 Y: 0 P:27 S:fb pc: c744, reg_addr: c747, cycle:     49
c744 4c 4b c7 JMP  ABS   A: 0 X: 0 Y: 0 P:27 S:fb pc: c74b, reg_addr: c74b, cycle:     52
c74b ea 18 90 NOP  IMPL  A: 0 X: 0 Y: 0 P:27 S:fb pc: c74c, reg_addr:    0, cycle:     54
c74c 18 90  4 CLC  IMPL  A: 0 X: 0 Y: 0 P:27 S:fb pc: c74d, reg_addr:    0, cycle:     56
c74d 90  4 a2 BCC  REL   A: 0 X: 0 Y: 0 P:26 S:fb pc: c753, reg_addr: c753, cycle:     59
c753 ea a9  0 NOP  IMPL  A: 0 X: 0 Y: 0 P:26 S:fb pc: c754, reg_addr:    0, cycle:     61
c754 a9  0 f0 LDA  IMM   A: 0 X: 0 Y: 0 P:26 S:fb pc: c756, reg_addr:    0, cycle:     63
c756 f0  4 a2 BEQ  REL   A: 0 X: 0 Y: 0 P:26 S:fb pc: c75c, reg_addr: c75c, cycle:     66
c75c ea a9 40 NOP  IMPL  A: 0 X: 0 Y: 0 P:26 S:fb pc: c75d, reg_addr:    0, cycle:     68
c75d a9 40 f0 LDA  IMM   A: 0 X: 0 Y: 0 P:26 S:fb pc: c75f, reg_addr:   40, cycle:     70
c75f f0  3 4c BEQ  REL   A:40 X: 0 Y: 0 P:24 S:fb pc: c761, reg_addr: c764, cycle:     72
c761 4c 68 c7 JMP  ABS   A:40 X: 0 Y: 0 P:24 S:fb pc: c768, reg_addr: c768, cycle:     75
c768 ea a9 40 NOP  IMPL  A:40 X: 0 Y: 0 P:24 S:fb pc: c769, reg_addr:    0, cycle:     77
c769 a9 40 d0 LDA  IMM   A:40 X: 0 Y: 0 P:24 S:fb pc: c76b, reg_addr:   40, cycle:     79
c76b d0  4 a2 BNE  REL   A:40 X: 0 Y: 0 P:24 S:fb pc: c771, reg_addr: c771, cycle:     82
c771 ea a9  0 NOP  IMPL  A:40 X: 0 Y: 0 P:24 S:fb pc: c772, reg_addr:    0, cycle:     84
c772 a9  0 d0 LDA  IMM   A:40 X: 0 Y: 0 P:24 S:fb pc: c774, reg_addr:    0, cycle:     86
c774 d0  3 4c BNE  REL   A: 0 X: 0 Y: 0 P:26 S:fb pc: c776, reg_addr: c779, cycle:     88
c776 4c 7d c7 JMP  ABS   A: 0 X: 0 Y: 0 P:26 S:fb pc: c77d, reg_addr: c77d, cycle:     91
c77d ea a9 ff NOP  IMPL  A: 0 X: 0 Y: 0 P:26 S:fb pc: c77e, reg_addr:    0, cycle:     93
c77e a9 ff 85 LDA  IMM   A: 0 X: 0 Y: 0 P:26 S:fb pc: c780, reg_addr:   ff, cycle:     95
c780 85  1 24 STA  ZP    A:ff X: 0 Y: 0 P:a4 S:fb pc: c782, reg_addr:    1, cycle:     98
c782 24  1 70 BIT  ZP    A:ff X: 0 Y: 0 P:a4 S:fb pc: c784, reg_addr:    1, cycle:    101
c784 70  4 a2 BVS  REL   A:ff X: 0 Y: 0 P:e4 S:fb pc: c78a, reg_addr: c78a, cycle:    104
c78a ea 24  1 NOP  IMPL  A:ff X: 0 Y: 0 P:e4 S:fb pc: c78b, reg_addr:    0, cycle:    106
c78b 24  1 50 BIT  ZP    A:ff X: 0 Y: 0 P:e4 S:fb pc: c78d, reg_addr:    1, cycle:    109
c78d 50  3 4c BVC  REL   A:ff X: 0 Y: 0 P:e4 S:fb pc: c78f, reg_addr: c792, cycle:    111
